Position,P0,P0,P0,P1,P1,P1,P2,P2,P2,P3,P3,P3
Vegetable,H1,H2,H3,H1,H2,H3,H1,H2,H3,H1,H2,H3
Time,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,1
2,0,0,1,0,0,1,0,0,1,0,0,1
3,0,0,1,0,0,1,1,0,0,0,0,1
4,1,0,0,1,0,0,1,0,0,0,0,1
5,1,0,0,1,0,0,1,0,0,0,1,0
6,1,0,0,1,0,0,1,0,0,0,1,0
7,1,0,0,1,0,0,1,0,0,0,1,0
8,1,0,0,1,0,0,0,1,0,0,1,0
9,0,1,0,0,1,0,0,1,0,1,0,0
10,0,1,0,0,1,0,0,1,0,1,0,0
11,0,1,0,0,1,0,0,1,0,1,0,0
12,0,1,0,0,1,0,0,1,0,1,0,0
13,0,1,0,1,0,0,0,0,1,1,0,0
14,1,0,0,1,0,0,0,0,1,1,0,0
15,1,0,0,1,0,0,0,0,1,1,0,0
16,1,0,0,1,0,0,0,0,1,1,0,0
17,1,0,0,1,0,0,0,0,1,1,0,0
18,1,0,0,1,0,0,1,0,0,1,0,0
19,0,0,1,1,0,0,1,0,0,1,0,0
20,0,0,1,1,0,0,1,0,0,0,1,0
21,0,1,0,1,0,0,1,0,0,0,1,0
22,0,1,0,0,1,0,1,0,0,0,1,0
23,0,1,0,0,1,0,1,0,0,0,1,0
24,0,1,0,0,1,0,0,1,0,0,1,0
25,1,0,0,0,1,0,0,1,0,0,1,0
26,1,0,0,1,0,0,0,1,0,0,1,0
27,1,0,0,1,0,0,0,0,1,1,0,0
28,1,0,0,1,0,0,0,0,1,1,0,0
29,1,0,0,1,0,0,0,0,1,1,0,0
30,0,0,1,1,0,0,0,0,1,1,0,0
